职位,工资,经验,学历,公司规模
WEB开发工程师,15k-25k,5-10年,本科,150-500人
高级运维开发工程师,20k-35k,不限,本科,500-2000人
数据库开发工程师,18k-30k,3-5年,本科,50-150人
Android开发工程师,10k-15k,3-5年,本科,15-50人
U3D客户端开发工程师——诺亚手游,10k-17k,1-3年,本科,150-500人
系统工程师,8k-12k,1-3年,大专,50-150人
全栈工程师,20k-35k,3-5年,本科,150-500人
自然语言高级研发工程师,20k-30k,3-5年,硕士,50-150人
Golang开发工程师,15k-30k,3-5年,大专,50-150人
资深运维开发工程师,25k-35k,5-10年,本科,500-2000人
测试开发工程师,20k-30k,3-5年,大专,150-500人
算法研发工程师,20k-40k,3-5年,本科,2000人以上
PHP开发工程师,15k-30k,3-5年,本科,150-500人
风控开发工程师,15k-30k,1-3年,不限,500-2000人
嵌入式软件开发工程师（急招）,25k-30k,3-5年,本科,15-50人
C#.Net 开发架构师 / 工程师,17k-30k,3-5年,本科,2000人以上
运维开发工程师,8k-16k,1-3年,本科,50-150人
运维开发工程师,15k-25k,不限,本科,15-50人
运维开发工程师,17k-30k,3-5年,本科,50-150人
c++开发工程师（直播业务）,12k-24k,3-5年,本科,50-150人
JAVA研发工程师,13k-26k,1-3年,本科,50-150人
后台开发工程师,15k-25k,1-3年,本科,50-150人
数据开发工程师,15k-30k,3-5年,本科,50-150人
智能推荐技术研发实习生,3k-5k,不限,本科,2000人以上
Hadoop开发工程师-B02,18k-24k,1-3年,硕士,500-2000人
区块链-高级C++开发工程师,25k-40k,3-5年,本科,15-50人
数据库开发工程师,15k-30k,3-5年,大专,2000人以上
高级前端开发工程师,10k-20k,3-5年,不限,50-150人
C++软件开发工程师,20k-40k,3-5年,本科,50-150人
linux C/C++开发工程师-B02,15k-18k,1-3年,本科,500-2000人
算法工程师,12k-24k,3-5年,本科,50-150人
导航开发工程师,20k-40k,不限,硕士,500-2000人
时光机研发工程师,20k-40k,不限,本科,50-150人
应用软件工程师,15k-30k,1-3年,本科,15-50人
php开发工程师,12k-22k,3-5年,大专,50-150人
AI开发工程师（KDC-7）,15k-30k,3-5年,本科,2000人以上
高级Go/C++开发工程师,20k-40k,3-5年,本科,15-50人
