职位,工资,经验,学历,公司规模
Python后端架构师,35k-70k,5-10年,本科,2000人以上
Python 研发工程师,25k-45k,3-5年,本科,2000人以上
Python开发工程师,18k-35k,3-5年,本科,500-2000人
高级python开发工程师,25k-35k,5-10年,本科,150-500人
Python开发高级工程师,30k-60k,3-5年,本科,2000人以上
高级Python开发工程师,25k-45k,3-5年,本科,150-500人
高级Python开发工程师,22k-32k,3-5年,本科,150-500人
Python高级开发工程师,20k-30k,3-5年,硕士,2000人以上
python,18k-36k,不限,本科,150-500人
python开发工程师,20k-40k,3-5年,本科,少于15人
Python开发工程师,15k-25k,1-3年,本科,50-150人
python开发,10k-20k,3-5年,大专,2000人以上
Python高级工程师-服务器端,25k-50k,3-5年,本科,15-50人
python研发工程师,20k-25k,1-3年,本科,50-150人
高级Python工程师,15k-25k,3-5年,本科,50-150人
Python工程师,10k-20k,1-3年,大专,150-500人
Python开发工程师,20k-40k,3-5年,本科,500-2000人
python,20k-30k,3-5年,本科,500-2000人
算法开发工程师（Python）,20k-40k,1-3年,本科,2000人以上
python开发工程师,13k-26k,3-5年,本科,150-500人
Python后端工程师,25k-35k,3-5年,本科,2000人以上
python工程师,20k-35k,不限,本科,50-150人
Python开发,20k-40k,1-3年,本科,500-2000人
高级python工程师,18k-25k,5-10年,本科,50-150人
Python开发工程师,10k-18k,3-5年,本科,500-2000人
python开发,10k-15k,3-5年,大专,2000人以上
Python开发工程师,10k-15k,不限,本科,50-150人
Python高级工程师,25k-45k,3-5年,本科,2000人以上
高级Python研发（熟悉Devops平台优先）,15k-30k,3-5年,不限,500-2000人
python开发工程师,15k-30k,1-3年,本科,2000人以上
python工程师,15k-25k,不限,本科,50-150人
资深Python开发,30k-45k,5-10年,本科,500-2000人
python开发,10k-16k,应届毕业生,不限,150-500人
Python开发工程师,10k-15k,不限,本科,15-50人
（高级）软件工程师-Python/Java,20k-35k,3-5年,本科,2000人以上
python开发,10k-20k,应届毕业生,本科,50-150人
Python,12k-18k,1-3年,本科,50-150人
Python开发工程师,10k-20k,1-3年,不限,50-150人
Python工程师（北京）,15k-25k,不限,本科,500-2000人
Python开发工程师-变现业务,25k-40k,1-3年,本科,2000人以上
Python开发工程师,15k-25k,3-5年,本科,2000人以上
Python研发工程师,15k-30k,1年以下,硕士,50-150人
python开发工程师,15k-25k,1-3年,本科,150-500人
资深Java/Python/C#/PHP开发,27k-32k,3-5年,本科,500-2000人
Python工程师,15k-30k,3-5年,本科,15-50人
Python开发工程师,15k-30k,3-5年,本科,500-2000人
Python开发工程师,10k-20k,1-3年,大专,50-150人
高级Python工程师,15k-20k,5-10年,本科,15-50人
Python研发负责人,30k-55k,3-5年,本科,500-2000人
python开发实习,4k-8k,1年以下,本科,50-150人
Python开发工程师(算法平台方向),20k-40k,3-5年,本科,50-150人
大数据平台开发工程师 Java/Python,10k-20k,应届毕业生,本科,50-150人
python开发工程师,14k-28k,1-3年,本科,15-50人
python开发工程师,15k-25k,5-10年,大专,2000人以上
高级Python开发工程师,25k-45k,3-5年,本科,150-500人
Python高级开发工程师,15k-20k,3-5年,本科,50-150人
Python工程师,7k-10k,1-3年,本科,少于15人
Python架构师,35k-60k,5-10年,本科,150-500人
Python开发工程师,15k-20k,不限,本科,15-50人
高级Python,20k-30k,3-5年,本科,500-2000人
Python 3 开发 (MJ000552),20k-35k,1-3年,本科,500-2000人
Python,10k-20k,应届毕业生,本科,50-150人
python量化开发工程师,12k-20k,不限,本科,50-150人
python讲师,20k-25k,3-5年,不限,2000人以上
Python开发,15k-30k,1-3年,本科,50-150人
python开发工程师,20k-40k,1-3年,本科,150-500人
Python讲师,20k-30k,3-5年,本科,2000人以上
python开发工程师,15k-25k,1-3年,本科,15-50人
高级Python开发工程师,20k-40k,3-5年,硕士,少于15人
python开发工程师,15k-30k,1-3年,本科,150-500人
Python开发工程师,12k-15k,1-3年,本科,150-500人
Python 开发工程师,18k-20k,5-10年,本科,2000人以上
python开发工程师,15k-30k,3-5年,本科,150-500人
高级python工程师,30k-60k,3-5年,本科,2000人以上
Python架构师,30k-60k,5-10年,本科,150-500人
Python技术经理,18k-36k,3-5年,本科,50-150人
Python,9k-15k,1-3年,本科,少于15人
python开发工程师,10k-15k,1-3年,本科,50-150人
python开发工程师,8k-11k,1-3年,本科,50-150人
高级Python开发工程师,15k-30k,5-10年,本科,15-50人
python,16k-25k,1-3年,本科,50-150人
Python开发工程师/量化策略开发,10k-20k,3-5年,本科,50-150人
python开发实习生,3k-6k,应届毕业生,本科,15-50人
中高级Python开发工程师,20k-30k,3-5年,本科,15-50人
python高级工程师/开发专家,25k-50k,3-5年,本科,2000人以上
python工程师,10k-20k,3-5年,本科,150-500人
狐友Python开发工程师,15k-25k,1-3年,本科,2000人以上
python开发工程师,10k-15k,不限,本科,15-50人
python开发,10k-20k,应届毕业生,本科,50-150人
中级Python开发工程师,15k-20k,3-5年,本科,15-50人
Python高级开发,15k-30k,1-3年,大专,50-150人
大数据开发工程师【Python】,15k-25k,3-5年,本科,150-500人
Python开发,9k-18k,3-5年,大专,2000人以上
python开发工程师,20k-40k,不限,本科,150-500人
Python开发工程师,10k-20k,1-3年,本科,150-500人
Python,12k-24k,1-3年,大专,50-150人
Python开发工程师,20k-40k,1-3年,本科,500-2000人
PYTHON研发工程师,25k-35k,3-5年,本科,500-2000人
Python架构师/高级研发工程师,22k-32k,3-5年,本科,15-50人
python工程师,10k-15k,1-3年,本科,少于15人
高级python开发工程师,20k-30k,3-5年,本科,500-2000人
python开发工程师,15k-30k,3-5年,本科,2000人以上
Python工程师,25k-40k,5-10年,硕士,150-500人
高级python后端工程师,25k-35k,3-5年,本科,2000人以上
Python开发工程师,20k-40k,3-5年,本科,150-500人
Python工程师,15k-25k,3-5年,本科,150-500人
Python工程师,18k-35k,不限,本科,500-2000人
python后端开发工程师面试（转go）,20k-40k,3-5年,本科,150-500人
Python工程师,8k-16k,1-3年,大专,50-150人
Python开发实习生,5k-8k,应届毕业生,本科,150-500人
Python高级讲师,10k-20k,1-3年,本科,2000人以上
Python开发工程师,15k-30k,3-5年,本科,50-150人
python工程师,20k-40k,3-5年,本科,50-150人
python开发,12k-15k,1-3年,本科,150-500人
高级python研发工程师,20k-40k,1-3年,本科,2000人以上
中级python开发工程师,20k-35k,不限,本科,50-150人
python开发工程师,10k-20k,3-5年,本科,150-500人
Kindle技术支持-Python,15k-18k,3-5年,本科,2000人以上
高级Python工程师,18k-30k,5-10年,本科,15-50人
Python Web开发工程师,15k-25k,1-3年,本科,2000人以上
Python开发工程师,15k-25k,3-5年,本科,150-500人
python攻城狮,9k-15k,1-3年,本科,15-50人
python开发工程师,20k-35k,1-3年,本科,50-150人
Python/web开发工程师,10k-20k,3-5年,本科,500-2000人
Java/Python,9k-18k,1年以下,大专,50-150人
Python开发工程师,12k-24k,3-5年,本科,50-150人
python,30k-35k,3-5年,本科,50-150人
高级Python开发工程师,25k-45k,3-5年,本科,50-150人
Python开发工程师,15k-30k,3-5年,本科,50-150人
Python开发工程师,10k-20k,1-3年,本科,150-500人
python开发工程师,15k-30k,1-3年,大专,50-150人
python高级研发工程师（中学业务）,20k-40k,3-5年,本科,500-2000人
服务器端开发工程师（Python）,10k-16k,1-3年,本科,150-500人
Python开发工程师,10k-20k,3-5年,本科,15-50人
python开发工程师,15k-25k,3-5年,本科,15-50人
python web开发工程师,15k-25k,1-3年,本科,2000人以上
Python开发工程师,10k-20k,3-5年,本科,15-50人
python开发工程师,15k-25k,3-5年,本科,15-50人
软件开发工程师（Python）,15k-30k,3-5年,本科,50-150人
Python 后端开发（北京）,18k-36k,1-3年,本科,150-500人
Python教学研发经理,18k-35k,3-5年,大专,2000人以上
Python/Ruby,15k-30k,1-3年,本科,50-150人
高级python开发工程师,30k-60k,3-5年,本科,150-500人
python高级研发工程师,20k-35k,5-10年,大专,50-150人
python程序员,6k-10k,1年以下,本科,15-50人
python高级开发工程师,15k-25k,3-5年,本科,15-50人
后台开发工程师Java/Python(中学业务),20k-40k,3-5年,本科,500-2000人
