职位,工资,经验,学历,公司规模
后端开发工程师（南京）,20k-40k,3-5年,本科,150-500人
c++,9k-15k,3-5年,大专,150-500人
技术支持工程师,8k-16k,1-3年,本科,50-150人
大数据研发高级工程师,10k-20k,1-3年,本科,500-2000人
运维工程师,13K-25K,5-10年,本科,50-150人
WEB前端开发工程师,8k-14k,1-3年,本科,150-500人
前端开发工程师--南京职位（电商）,15k-30k,不限,本科,2000人以上
C++软件工程师（南京）,12k-24k,3-5年,本科,50-150人
机器学习/深度学习研发工程师,15k-30k,1-3年,本科,50-150人
算法工程师,20k-40k,3-5年,本科,2000人以上
Java/Scala开发高级工程师,20k-30k,3-5年,本科,15-50人
中级C/C++软件工程师,8k-15k,3-5年,本科,150-500人
计算机视觉算法工程师,25k-50k,不限,硕士,500-2000人
云平台工程师,13k-20k,3-5年,本科,2000人以上
前端开发工程师,15k-30k,3-5年,本科,2000人以上
WEB工程师/前端工程师,10k-20k,3-5年,本科,15-50人
运维工程师,8k-16k,1-3年,本科,15-50人
知识工程师,7k-10k,应届毕业生,硕士,15-50人
大数据开发工程师,12k-24k,3-5年,本科,50-150人
运营工程师（南京）,15k-30k,3-5年,本科,50-150人
高级移动应用研发工程师Android &amp; iOS,15k-25k,1-3年,本科,2000人以上
算法工程师,15k-25k,1-3年,本科,15-50人
服务端初/中/高级研发工程师,18k-35k,不限,本科,2000人以上
C软件工程师（2019届）,5k-7k,应届毕业生,本科,15-50人
初级C/C++软件工程师,6k-8k,1-3年,本科,150-500人
信息安全方向产品&amp;技术研究,5k-9k,应届毕业生,硕士,500-2000人
数据分析工程师,12k-24k,3-5年,本科,500-2000人
大数据运维工程师,15k-25k,3-5年,本科,500-2000人
云计算工程师,10k-18k,3-5年,本科,500-2000人
后端软件工程师,10k-15k,不限,本科,15-50人
自动化测试工程师-NJ,10k-15k,3-5年,本科,150-500人
unity程序开发工程师,5k-8k,1-3年,本科,50-150人
运维工程师,10k-20k,3-5年,大专,150-500人
web前端开发工程师,7k-14k,1-3年,大专,150-500人
数据分析工程师（实习岗）,3k-6k,应届毕业生,本科,15-50人
算法工程师,15k-25k,3-5年,硕士,500-2000人
后端工程师,8k-12k,1年以下,大专,150-500人
算法工程师助理,8k-16k,1-3年,本科,50-150人
推荐算法工程师,10k-20k,1-3年,本科,50-150人
web前端工程师,8k-15k,1-3年,本科,15-50人
高级算法工程师,25k-35k,3-5年,本科,2000人以上
机器学习算法实习生（南京）,4k-6k,应届毕业生,硕士,150-500人
运维工程师,10k-15k,3-5年,大专,150-500人
Devops工程师-欧美项目,12k-20k,3-5年,本科,150-500人
web前端开发（2年，有管理意向）,8k-15k,1-3年,本科,15-50人
软件测试,8k-12k,3-5年,大专,2000人以上
系统运维工程师,8k-12k,3-5年,大专,150-500人
运维实施工程师,6k-10k,1-3年,本科,50-150人
数据分析师,10k-20k,不限,本科,15-50人
算法工程师,15k-20k,1-3年,本科,50-150人
技术总监,25k-30k,10年以上,本科,50-150人
java开发（南京）,10k-18k,3-5年,大专,2000人以上
前端开发工程师,15k-25k,3-5年,本科,2000人以上
数据工程师,10k-20k,3-5年,不限,2000人以上
WEB/H5高级前端开发工程师,10k-20k,3-5年,大专,50-150人
大数据开发工程师,8k-16k,1-3年,大专,150-500人
技术支持工程师,7k-12k,不限,本科,2000人以上
大数据分析项目经理,15k-30k,3-5年,本科,2000人以上
机器学习算法研究员（南京） (MJ000179),15k-30k,不限,不限,150-500人
Java开发工程师-南京-00257,12k-18k,3-5年,本科,150-500人
数据分析工程师,8k-15k,1-3年,本科,500-2000人
高级DevOps交付工程师,9k-13k,3-5年,大专,50-150人
自动化平台工程师,12k-18k,1-3年,本科,2000人以上
配置管理工程师,10k-15k,3-5年,本科,500-2000人
前端开发工程师,8k-15k,1-3年,大专,少于15人
测试开发工程师,10k-20k,3-5年,本科,2000人以上
web前端,8k-15k,3-5年,本科,2000人以上
运维开发工程师,14k-25k,5-10年,本科,150-500人
运维实习生-南京,3k-4k,不限,本科,150-500人
PHP开发工程师实习生,3k-6k,应届毕业生,本科,150-500人
大数据应用运维工程师,10k-20k,3-5年,本科,50-150人
DevOps工程师,15k-20k,5-10年,大专,150-500人
资深渗透安全工程师,20k-35k,3-5年,本科,500-2000人
【2019校招】异构计算工程师,8k-15k,应届毕业生,本科,2000人以上
后端工程师,8k-15k,1-3年,本科,15-50人
