职位,工资,经验,学历,公司规模
运维开发（python）,15k-28k,3-5年,本科,500-2000人
运维工程师（python自动化运维）,6k-12k,1-3年,本科,2000人以上
python后端开发,15k-20k,3-5年,本科,50-150人
Python后端工程师,20k-40k,1-3年,本科,500-2000人
Python后端开发工程师,10k-20k,1-3年,本科,少于15人
Python 后台工程师,7k-12k,1-3年,不限,50-150人
python开发工程师（SAAS云平台研发）,12k-24k,1-3年,不限,15-50人
Python开发实习生 - 短视频方向,4k-8k,应届毕业生,本科,150-500人
python后台开发,10k-20k,1-3年,本科,15-50人
后端（Python）开发工程师,16k-32k,1-3年,本科,500-2000人
Python图像处理开发工程师,15k-25k,1-3年,本科,15-50人
后台开发工程师（Java/python）,8k-12k,1-3年,本科,150-500人
Python 后端开发工程师,10K-15K,1-3年,本科,15-50人
Python实习生,2k-3k,应届毕业生,本科,50-150人
Junior Python Developer,15k-20k,应届毕业生,本科,50-150人
Python Web 工程师,6k-12k,应届毕业生,本科,15-50人
大数据（Python）工程师（实习生）,3k-5k,不限,本科,500-2000人
运维工程师（python自动化运维）,6k-8k,1-3年,本科,2000人以上
高级Python爬虫工程师,12k-24k,1-3年,不限,150-500人
python编程老师,6k-8k,不限,大专,50-150人
高级scratch\python课程设计师,15k-25k,不限,本科,15-50人
深度学习算法工程师(Python),25k-40k,3-5年,硕士,500-2000人
PYthon爬虫工程师,10k-12k,1-3年,本科,50-150人
后端开发实习生（Java/Golang/Python）-短视频方向,4k-8k,不限,本科,2000人以上
高级Python爬虫工程师,10k-18k,1-3年,不限,150-500人
Python爬虫工程师,10k-15k,1-3年,本科,15-50人
Go软件工程师,15k-25k,3-5年,本科,50-150人
Go 开发Leader,30k-60k,5-10年,本科,500-2000人
算法技术专家（NLP）,30k-60k,不限,硕士,150-500人
高级GO工程师,25k-35k,3-5年,本科,50-150人
高级研发经理(java方向),20k-35k,5-10年,本科,2000人以上
测试开发资深专家（研发-测试）,30k-40k,5-10年,本科,2000人以上
资深前端工程师,25k-35k,5-10年,本科,2000人以上
GO语言工程师,15k-20k,1-3年,本科,50-150人
DevOps研发工程师（docker/k8s）,15k-30k,3-5年,本科,500-2000人
281-Java开发工程师（云计算）,25k-35k,5-10年,本科,500-2000人
技术实施工程师,8k-15k,1-3年,本科,150-500人
技术保障高级工程师,20k-40k,5-10年,本科,500-2000人
Odoo开发工程师,13k-20k,3-5年,大专,500-2000人
高级Python爬虫工程师,10k-17k,1-3年,本科,15-50人
算法技术专家（知识图谱/搜索）,30k-60k,不限,硕士,150-500人
研发工程师（用户增长方向）,20k-35k,3-5年,本科,2000人以上
后端开发工程师,15k-30k,3-5年,本科,50-150人
后端开发实习生（云技术）,3k-6k,不限,不限,2000人以上
后端开发工程师-java,15k-25k,3-5年,本科,少于15人
00918-高级开发工程师（CICD）-12,20k-30k,3-5年,本科,500-2000人
算法开发工程师,25k-50k,3-5年,本科,500-2000人
开发工程师,15k-25k,3-5年,本科,500-2000人
大数据开发工程师,18k-35k,3-5年,本科,150-500人
资深研发工程师/技术专家,15k-30k,3-5年,本科,500-2000人
容器云研发工程师（高级） (MJ000117),20k-40k,3-5年,不限,150-500人
大数据开发工程师,15k-30k,1-3年,本科,500-2000人
高级后端研发工程师,30k-60k,3-5年,本科,150-500人
安全开发工程师,15k-25k,1-3年,大专,2000人以上
大数据开发工程师,20k-30k,3-5年,硕士,2000人以上
大数据开发工程师,25k-40k,3-5年,本科,500-2000人
后端工程师,20k-26k,应届毕业生,本科,2000人以上
高级AI引擎开发工程师,40k-75k,5-10年,本科,2000人以上
编译器开发工程师,35k-70k,3-5年,本科,50-150人
云计算开发工程师 (MJ000010),20k-35k,不限,本科,150-500人
大数据开发工程师,15k-25k,3-5年,本科,150-500人
数据开发工程师,11k-22k,1-3年,本科,50-150人
k8s技术专家（机器学习平台）,30k-50k,5-10年,不限,500-2000人
前端工程师,10k-15k,3-5年,大专,50-150人
高级大数据开发工程师,15k-30k,3-5年,本科,2000人以上
人工智能开发工程师 (MJ000667),25k-50k,1-3年,本科,500-2000人
