职位,工资,经验,学历,公司规模
前端开发工程师,10k-15k,3-5年,本科,15-50人
系统架构师,25k-35k,10年以上,本科,50-150人
数据分析师,6k-10k,1-3年,本科,500-2000人
前后端开发实习生,4k-8k,应届毕业生,本科,15-50人
数据工程师,15k-30k,3-5年,本科,2000人以上
软件测试工程师,6k-8k,1-3年,大专,500-2000人
WEB前端开发工程师,8k-12k,3-5年,大专,少于15人
运维工程师,6k-10k,1-3年,本科,少于15人
高级测试工程师-西安-14007,8k-14k,3-5年,本科,2000人以上
实施工程师 (MJ000051),5k-10k,不限,大专,150-500人
H5前端中级工程师,6k-8k,3-5年,大专,50-150人
运维工程师,7k-10k,1-3年,大专,150-500人
深度学习算法工程师,15k-30k,不限,硕士,150-500人
渗透测试工程师,8k-15k,1-3年,本科,50-150人
大数据工程师,15k-23k,3-5年,本科,2000人以上
运维工程师,8k-16k,1-3年,本科,50-150人
自动化测试工程师,8k-15k,3-5年,本科,150-500人
运营实习生,3k-4k,应届毕业生,本科,50-150人
大数据实习生,3k-5k,应届毕业生,硕士,50-150人
项目专员,3k-6k,不限,本科,少于15人
技术总监,12k-20k,3-5年,本科,15-50人
大数据算法工程师,15k-25k,1-3年,本科,500-2000人
运维工程师(SRE),20k-25k,3-5年,本科,500-2000人
大数据开发,15k-30k,3-5年,本科,2000人以上
大数据挖掘工程师,15k-20k,3-5年,本科,50-150人
运维工程师,8k-12k,1-3年,本科,50-150人
web前端开发工程师,8k-12k,3-5年,本科,15-50人
数据挖掘工程师(000882),15k-25k,3-5年,本科,2000人以上
PHP工程师,5K-8K,1-3年,大专,15-50人
DB&amp;运维工程师,4k-6k,1-3年,不限,500-2000人
测试工程师,10k-20k,3-5年,本科,50-150人
Java开发工程师,14k-25k,1-3年,本科,2000人以上
软件测试工程师,6k-8k,1-3年,本科,50-150人
web前端,6k-12k,1-3年,大专,15-50人
java大数据工程师,7k-14k,3-5年,本科,2000人以上
视觉算法工程师,15k-25k,不限,硕士,150-500人
软件测试实习生（西安）,2k-3k,应届毕业生,本科,500-2000人
软件测试工程师,8k-12k,3-5年,本科,15-50人
自动化测试工程师,8k-12k,不限,本科,50-150人
senior dev/tech lead,20k-30k,5-10年,不限,50-150人
量化实习生,3k-4k,应届毕业生,本科,50-150人
网络产品测试工程师,6k-8k,3-5年,大专,500-2000人
数据分析师,8k-12k,3-5年,本科,50-150人
中级测试工程师,5k-8k,1-3年,本科,15-50人
自动化测试,7k-14k,1-3年,本科,2000人以上
运维工程师,8k-15k,1-3年,本科,500-2000人
高级大数据工程师,10k-20k,5-10年,本科,15-50人
运维工程师（西安）,5k-10k,应届毕业生,本科,15-50人
系统运维工程师,5k-8k,1-3年,大专,15-50人
软件测试工程师,4k-6k,1-3年,本科,15-50人
Web Frontend网页前端工程师,7k-14k,1-3年,本科,15-50人
中级/高级测试工程师,8k-15k,1-3年,本科,15-50人
软件测试实习生,1k-2k,应届毕业生,大专,150-500人
软件测试工程师,6k-9k,不限,本科,50-150人
运维工程师,9k-15k,3-5年,大专,50-150人
资深软件研发工程师（西安）,10k-15k,3-5年,本科,500-2000人
后台开发工程师,10k-15k,不限,本科,500-2000人
Web开发工程师（西安）ZY,8k-15k,3-5年,本科,500-2000人
大数据研发工程师（西安）(J10075),10k-15k,1-3年,本科,500-2000人
web开发工程师（西安）,9k-15k,1-3年,本科,500-2000人
后台研发工程师（ROS）(J11589),12k-18k,1-3年,本科,500-2000人
web前端研发工程师(J10939),8k-10k,1-3年,本科,500-2000人
后台开发工程师（CSS）(J11627),12k-18k,3-5年,本科,500-2000人
web前端研发工程师,9k-15k,1-3年,本科,500-2000人
产品运维工程师,6k-10k,3-5年,本科,15-50人
高级数据库工程师,12k-18k,5-10年,本科,15-50人
资深深度学习算法工程师,30k-50k,10年以上,硕士,15-50人
应届生招聘,6k-12k,不限,本科,15-50人
产品部项目管理,6k-12k,1-3年,本科,15-50人
实习云安全研究员(西安）(J11526),4k-6k,不限,硕士,500-2000人
资深测试工程师（西安）(J10063),8k-12k,1年以下,本科,500-2000人
测试实习生（西安）(J10062),2k-4k,不限,本科,500-2000人
后台开发实习生（西安）,2k-4k,不限,本科,500-2000人
云安全研究员(J11525),13k-20k,1-3年,博士,500-2000人
测试实习生（西安）,2k-3k,不限,本科,500-2000人
Web安全SaaS服务研发(J11624),10k-18k,1-3年,本科,500-2000人
实习Linux运维工程师(J11611),3k-5k,应届毕业生,本科,500-2000人
大数据工程师,18k-30k,3-5年,本科,15-50人
数据科学家/算法专家,20k-40k,1-3年,博士,15-50人
算法工程师,15k-28k,1-3年,硕士,15-50人
算法实习生,1k-2k,应届毕业生,本科,15-50人
推荐算法工程师（西安）,15k-30k,1-3年,本科,2000人以上
数据分析实习生,1k-2k,应届毕业生,本科,15-50人
爬虫工程师,8k-15k,3-5年,本科,15-50人
软件工程师（初、高级，虚拟化网络方向）,8k-16k,1-3年,本科,150-500人
测试工程师,6k-10k,3-5年,不限,150-500人
测试主管-西安-18838,12k-20k,3-5年,本科,2000人以上
自动化测试工程师,10k-20k,3-5年,本科,2000人以上
