职位,工资,经验,学历,公司规模
开发工程师,7k-13k,不限,本科,15-50人
测试工程师,6k-8k,1-3年,大专,150-500人
计算机视觉算法工程师,18k-22k,1-3年,本科,150-500人
存储研发工程师,14k-22k,1-3年,本科,150-500人
KunLun-数据仓库工程师,10k-20k,3-5年,本科,150-500人
BI工程师,10k-14k,1-3年,本科,50-150人
高级测试工程师,10k-20k,5-10年,本科,50-150人
模式识别算法工程师,15k-25k,不限,硕士,150-500人
系统架构师（后端）,30k-40k,5-10年,本科,50-150人
高级企业运维系统工程师,15k-30k,5-10年,大专,2000人以上
运维工程师,7k-11k,3-5年,大专,50-150人
运维工程师,7k-10k,1-3年,本科,50-150人
Java开发工程师,10k-15k,3-5年,本科,500-2000人
平台开发工程师,15k-25k,3-5年,本科,50-150人
高级运维工程师,15k-25k,5-10年,本科,50-150人
相机测试工程师,15k-30k,不限,本科,2000人以上
渗透测试工程师,12k-20k,1-3年,大专,15-50人
测试工程师,6k-11k,3-5年,本科,500-2000人
自动化测试工程师,9k-14k,3-5年,本科,50-150人
自然语言处理工程师,15k-20k,3-5年,本科,50-150人
Golang后端开发,15k-25k,不限,大专,150-500人
Linux系统工程师,12k-18k,5-10年,不限,500-2000人
安全运维工程师,15k-22k,5-10年,本科,500-2000人
中级软件测试工程师,8k-12k,3-5年,本科,50-150人
系统运维工程师,6k-12k,不限,大专,50-150人
数据开发工程师,8k-16k,应届毕业生,本科,500-2000人
后端开发工程师（中高级）,15k-25k,3-5年,本科,150-500人
中级自动化/性能测试工程师,6k-10k,1-3年,本科,15-50人
数据分析师,10k-20k,1-3年,本科,2000人以上
数据挖掘,15k-22k,1-3年,本科,150-500人
配置管理工程师,10k-15k,3-5年,本科,150-500人
网络安全入侵渗透测试工程师,15k-20k,1-3年,本科,15-50人
数据工程师,10k-18k,3-5年,本科,150-500人
linux运维工程师,12k-24k,3-5年,大专,50-150人
Java高级开发工程师,20k-40k,3-5年,本科,500-2000人
客服算法/NLP算法工程师,20k-35k,1-3年,硕士,150-500人
数据工程师,15k-30k,不限,不限,150-500人
GPS/IMU质量算法工程师,15k-25k,1-3年,硕士,150-500人
高级前端工程师,18k-30k,5-10年,大专,500-2000人
大数据分析师,15k-25k,1-3年,本科,500-2000人
Web前端开发(Javascript),9k-18k,5-10年,本科,50-150人
运维工程师,10k-20k,应届毕业生,本科,50-150人
运维开发工程师,10k-20k,3-5年,大专,150-500人
测试工程师,6k-8k,1-3年,不限,15-50人
高级大数据开发工程师,15k-25k,3-5年,本科,50-150人
Go开发工程师,12k-24k,3-5年,本科,50-150人
运维工程师,8k-15k,1-3年,大专,少于15人
后端开发工程师,15k-30k,1-3年,大专,150-500人
视频&amp;图像质量算法工程师,15k-25k,3-5年,硕士,150-500人
游戏服务端开发,10k-20k,应届毕业生,本科,50-150人
运维工程师,4k-7k,1-3年,大专,50-150人
协议分析工程师,7k-10k,1-3年,本科,150-500人
Java开发工程师（韩语精通）,15k-25k,5-10年,本科,500-2000人
安全开发工程师,15k-25k,3-5年,本科,500-2000人
后端开发,12k-18k,1-3年,本科,150-500人
高级测试工程师,10k-20k,3-5年,本科,500-2000人
自动化测试工程师,10k-20k,3-5年,本科,500-2000人
后端软件开发工程师,10k-15k,3-5年,本科,15-50人
服务器运维,10k-15k,3-5年,大专,50-150人
后台研发工程师,20k-40k,3-5年,本科,2000人以上
【SEG】-NLP算法工程师,25k-50k,3-5年,硕士,2000人以上
软件测试,8k-16k,3-5年,本科,2000人以上
C/C++开发工程师(应届生),3k-6k,应届毕业生,本科,50-150人
后端工程师,8k-15k,1-3年,本科,150-500人
运维工程师,10k-15k,3-5年,大专,500-2000人
游戏服务器中级开发工程师,10k-15k,3-5年,本科,15-50人
大数据风控VP,60k-100k,5-10年,本科,2000人以上
后端开发工程师（成都）,13k-15k,3-5年,大专,15-50人
大数据架构师,20k-30k,3-5年,本科,150-500人
测试工程师,6k-9k,1-3年,本科,500-2000人
运维主管,10k-15k,3-5年,本科,50-150人
C/C++数据库研发工程师（接口）,8k-15k,1-3年,本科,150-500人
后端开发工程师,8k-12k,1-3年,大专,50-150人
中高级系统实施工程师（DBA方向）,10k-13k,3-5年,本科,150-500人
MySQL DBA 数据库管理员,13k-20k,1-3年,本科,150-500人
系统运维主管,15k-25k,5-10年,大专,2000人以上
数据分析专员,8k-15k,3-5年,本科,500-2000人
DBA工程师,15k-25k,3-5年,本科,500-2000人
PHP技术组长,9k-12k,3-5年,大专,15-50人
运维工程师,10k-15k,3-5年,大专,150-500人
Docker开发工程师,10k-18k,3-5年,本科,50-150人
运维工程师,4k-8k,1-3年,本科,500-2000人
资深后端工程师,12k-20k,3-5年,本科,150-500人
C#/.NET开发工程师,10k-17k,1-3年,大专,150-500人
自动化测试工程师,10k-15k,1-3年,本科,150-500人
Web开发工程师,14k-22k,1-3年,本科,15-50人
数据挖掘实习,10k-12k,不限,本科,150-500人
数据库开发工程师,15k-20k,3-5年,大专,50-150人
大数据开发工程师,10k-15k,1-3年,本科,50-150人
Linux服务器研发工程师,14k-22k,1-3年,本科,150-500人
资深互联网运维工程师,36k-60k,3-5年,本科,150-500人
AI算法研究员,25k-35k,5-10年,本科,2000人以上
游戏自动化测试,10k-20k,3-5年,本科,50-150人
搜索引擎算法工程师、NLP算法工程师,12k-20k,1-3年,不限,15-50人
机器视觉算法优化工程师,10k-20k,1-3年,本科,150-500人
全栈工程师,8k-16k,1-3年,本科,50-150人
大数据风控经理,8k-12k,3-5年,本科,50-150人
java资深开发工程师,10k-15k,5-10年,本科,15-50人
风控建模经理,25k-40k,3-5年,本科,500-2000人
政务大数据技术经理,10k-15k,5-10年,本科,150-500人
前端研发实习生(大数据可视化),1k-2k,应届毕业生,本科,50-150人
后台／服务端／服务器开发工程师,15k-25k,3-5年,本科,50-150人
NLP 研发工程师(J10054),15k-20k,1-3年,硕士,500-2000人
java开发工程师,15k-30k,3-5年,本科,500-2000人
Golang开发工程师,12k-18k,1-3年,本科,150-500人
软件测试工程师,6k-8k,3-5年,本科,2000人以上
